,Year,Corr_GDP,Corr_Popn,Corr_GDP_pc
0,1896-01-01,0.1482556396167299,0.12385713197190039,0.11846139970776402
1,1900-01-01,0.26792362626670096,0.09470385667315558,0.3791930555197616
2,1904-01-01,0.005948945339004744,0.0009640730958988231,0.013833059230800882
3,1906-01-01,0.08528332375323115,0.07091293373660627,0.12963199969332212
4,1908-01-01,0.11014020740686996,0.06039741946107625,0.13469856026136964
5,1912-01-01,0.05252786064952849,-0.015065802797246284,0.17036173286164302
6,1920-01-01,0.08960793601237702,0.06760417347524574,0.07999295162784635
7,1924-01-01,0.19255664820589127,0.12906081414306,0.15016322756776943
8,1928-01-01,0.08460473455503692,0.12216495024341524,0.0285489250704508
9,1932-01-01,0.08020133898928913,0.10175890661576996,0.01989051603573178
10,1936-01-01,0.1306380763450608,0.07631182549721102,0.07669018458596673
11,1948-01-01,0.1848550784010514,0.10238947913501707,0.09429437491998845
12,1952-01-01,0.18324530218095667,0.14204614940841073,0.10291062679733474
13,1956-01-01,0.14656239670854,0.1277088343704316,0.07941785099346724
14,1960-01-01,0.22955101838398856,0.23269373589822728,0.058973595105263975
15,1964-01-01,0.25559800559685436,0.18953781105475576,0.1287639714573382
16,1968-01-01,0.2350936155005985,0.2661856057018205,0.11390383046890479
17,1972-01-01,0.24119973119381136,0.24728046773295392,0.04133802451901201
18,1976-01-01,0.22041639197787502,0.20645220460086833,0.009781487293699475
19,1980-01-01,0.4343201834795484,0.2124990729183301,0.004178597680168503
20,1984-01-01,0.32066815742634874,0.12731596845044488,0.09362372090949984
21,1988-01-01,0.20421549498506217,0.060476065774674036,0.06040559996927415
22,1992-01-01,0.16734526900634708,0.07789011726449438,0.054891175178935894
23,1996-01-01,0.14927735670188508,0.09048416261399049,0.06793423852021203
24,2000-01-01,0.1352328261569431,0.05201608006961378,0.080627604504598
25,2004-01-01,0.1730841890431268,0.051686559918290076,0.085146470103365
26,2008-01-01,0.20618625179687775,0.10345919613592047,0.0773985706617476
27,2012-01-01,0.17415596464888447,0.08858794147294878,0.1069147579840293
28,2016-01-01,0.15159696580085594,0.058637377863085476,0.10893468661545762
